Date,HomeTeam,AwayTeam,FTHG,FTAG
24/08/13,Sampdoria,Juventus,0,1
24/08/13,Verona,Milan,2,1
25/08/13,Cagliari,Atalanta,2,1
25/08/13,Inter,Genoa,2,0
25/08/13,Lazio,Udinese,2,1
25/08/13,Livorno,Roma,0,2
25/08/13,Napoli,Bologna,3,0
25/08/13,Parma,Chievo,0,0
25/08/13,Torino,Sassuolo,2,0
26/08/13,Fiorentina,Catania,2,1
31/08/13,Chievo,Napoli,2,4
31/08/13,Juventus,Lazio,4,1
01/09/13,Atalanta,Torino,2,0
01/09/13,Bologna,Sampdoria,2,2
01/09/13,Catania,Inter,0,3
01/09/13,Genoa,Fiorentina,2,5
01/09/13,Milan,Cagliari,3,1
01/09/13,Roma,Verona,3,0
01/09/13,Sassuolo,Livorno,1,4
01/09/13,Udinese,Parma,3,1
14/09/13,Inter,Juventus,1,1
14/09/13,Napoli,Atalanta,2,0
14/09/13,Torino,Milan,2,2
15/09/13,Fiorentina,Cagliari,1,1
15/09/13,Lazio,Chievo,3,0
15/09/13,Livorno,Catania,2,0
15/09/13,Sampdoria,Genoa,0,3
15/09/13,Udinese,Bologna,1,1
15/09/13,Verona,Sassuolo,2,0
16/09/13,Parma,Roma,1,3
21/09/13,Cagliari,Sampdoria,2,2
21/09/13,Chievo,Udinese,2,1
21/09/13,Genoa,Livorno,0,0
22/09/13,Atalanta,Fiorentina,0,2
22/09/13,Bologna,Torino,1,2
22/09/13,Catania,Parma,0,0
22/09/13,Juventus,Verona,2,1
22/09/13,Milan,Napoli,1,2
22/09/13,Roma,Lazio,2,0
22/09/13,Sassuolo,Inter,0,7
24/09/13,Udinese,Genoa,1,0
25/09/13,Bologna,Milan,3,3
25/09/13,Chievo,Juventus,1,2
25/09/13,Lazio,Catania,3,1
25/09/13,Livorno,Cagliari,1,1
25/09/13,Napoli,Sassuolo,1,1
25/09/13,Parma,Atalanta,4,3
25/09/13,Sampdoria,Roma,0,2
25/09/13,Torino,Verona,2,2
26/09/13,Inter,Fiorentina,2,1
28/09/13,Genoa,Napoli,0,2
28/09/13,Milan,Sampdoria,1,0
29/09/13,Atalanta,Udinese,2,0
29/09/13,Cagliari,Inter,1,1
29/09/13,Catania,Chievo,2,0
29/09/13,Roma,Bologna,5,0
29/09/13,Sassuolo,Lazio,2,2
29/09/13,Torino,Juventus,0,1
29/09/13,Verona,Livorno,2,1
30/09/13,Fiorentina,Parma,2,2
05/10/13,Chievo,Atalanta,0,1
05/10/13,Inter,Roma,0,3
06/10/13,Bologna,Verona,1,4
06/10/13,Catania,Genoa,1,1
06/10/13,Juventus,Milan,3,2
06/10/13,Lazio,Fiorentina,0,0
06/10/13,Napoli,Livorno,4,0
06/10/13,Parma,Sassuolo,3,1
06/10/13,Sampdoria,Torino,2,2
06/10/13,Udinese,Cagliari,2,0
18/10/13,Roma,Napoli,2,0
19/10/13,Cagliari,Catania,2,1
19/10/13,Milan,Udinese,1,0
20/10/13,Atalanta,Lazio,2,1
20/10/13,Fiorentina,Juventus,4,2
20/10/13,Genoa,Chievo,2,1
20/10/13,Livorno,Sampdoria,1,2
20/10/13,Sassuolo,Bologna,2,1
20/10/13,Torino,Inter,3,3
20/10/13,Verona,Parma,3,2
26/10/13,Inter,Verona,4,2
26/10/13,Sampdoria,Atalanta,1,0
27/10/13,Bologna,Livorno,1,0
27/10/13,Catania,Sassuolo,0,0
27/10/13,Chievo,Fiorentina,1,2
27/10/13,Juventus,Genoa,2,0
27/10/13,Lazio,Cagliari,2,0
27/10/13,Napoli,Torino,2,0
27/10/13,Parma,Milan,3,2
27/10/13,Udinese,Roma,0,1
29/10/13,Atalanta,Inter,1,1
30/10/13,Cagliari,Bologna,0,3
30/10/13,Fiorentina,Napoli,1,2
30/10/13,Genoa,Parma,1,0
30/10/13,Juventus,Catania,4,0
30/10/13,Livorno,Torino,3,3
30/10/13,Milan,Lazio,1,1
30/10/13,Sassuolo,Udinese,1,2
30/10/13,Verona,Sampdoria,2,0
31/10/13,Roma,Chievo,1,0
02/11/13,Milan,Fiorentina,0,2
02/11/13,Napoli,Catania,2,1
02/11/13,Parma,Juventus,0,1
03/11/13,Lazio,Genoa,0,2
03/11/13,Livorno,Atalanta,1,0
03/11/13,Sampdoria,Sassuolo,3,4
03/11/13,Torino,Roma,1,1
03/11/13,Udinese,Inter,0,3
03/11/13,Verona,Cagliari,2,1
04/11/13,Bologna,Chievo,0,0
09/11/13,Catania,Udinese,1,0
09/11/13,Inter,Livorno,2,0
10/11/13,Atalanta,Bologna,2,1
10/11/13,Cagliari,Torino,2,1
10/11/13,Chievo,Milan,0,0
10/11/13,Fiorentina,Sampdoria,2,1
10/11/13,Genoa,Verona,2,0
10/11/13,Juventus,Napoli,3,0
10/11/13,Parma,Lazio,1,1
10/11/13,Roma,Sassuolo,1,1
23/11/13,Milan,Genoa,1,1
23/11/13,Napoli,Parma,0,1
23/11/13,Verona,Chievo,0,1
24/11/13,Bologna,Inter,1,1
24/11/13,Livorno,Juventus,0,2
24/11/13,Sampdoria,Lazio,1,1
24/11/13,Sassuolo,Atalanta,2,0
24/11/13,Torino,Catania,4,1
24/11/13,Udinese,Fiorentina,1,0
25/11/13,Roma,Cagliari,0,0
30/11/13,Genoa,Torino,1,1
30/11/13,Parma,Bologna,1,1
01/12/13,Atalanta,Roma,1,1
01/12/13,Cagliari,Sassuolo,2,2
01/12/13,Catania,Milan,1,3
01/12/13,Chievo,Livorno,3,0
01/12/13,Inter,Sampdoria,1,1
01/12/13,Juventus,Udinese,1,0
02/12/13,Fiorentina,Verona,4,3
02/12/13,Lazio,Napoli,2,4
06/12/13,Bologna,Juventus,0,2
07/12/13,Livorno,Milan,2,2
07/12/13,Napoli,Udinese,3,3
08/12/13,Cagliari,Genoa,2,1
08/12/13,Inter,Parma,3,3
08/12/13,Roma,Fiorentina,2,1
08/12/13,Sampdoria,Catania,2,0
08/12/13,Sassuolo,Chievo,0,1
08/12/13,Torino,Lazio,1,0
08/12/13,Verona,Atalanta,2,1
14/12/13,Catania,Verona,0,0
15/12/13,Chievo,Sampdoria,0,1
15/12/13,Fiorentina,Bologna,3,0
15/12/13,Genoa,Atalanta,1,1
15/12/13,Juventus,Sassuolo,4,0
15/12/13,Lazio,Livorno,2,0
15/12/13,Napoli,Inter,4,2
15/12/13,Parma,Cagliari,0,0
15/12/13,Udinese,Torino,0,2
16/12/13,Milan,Roma,2,2
21/12/13,Cagliari,Napoli,1,1
21/12/13,Livorno,Udinese,1,2
22/12/13,Atalanta,Juventus,1,4
22/12/13,Bologna,Genoa,1,0
22/12/13,Inter,Milan,1,0
22/12/13,Roma,Catania,4,0
22/12/13,Sampdoria,Parma,1,1
22/12/13,Sassuolo,Fiorentina,0,1
22/12/13,Torino,Chievo,4,1
22/12/13,Verona,Lazio,4,1
05/01/14,Chievo,Cagliari,0,0
05/01/14,Fiorentina,Livorno,1,0
05/01/14,Juventus,Roma,3,0
06/01/14,Catania,Bologna,2,0
06/01/14,Genoa,Sassuolo,2,0
06/01/14,Lazio,Inter,1,0
06/01/14,Milan,Atalanta,3,0
06/01/14,Napoli,Sampdoria,2,0
06/01/14,Parma,Torino,3,1
06/01/14,Udinese,Verona,1,3
11/01/14,Bologna,Lazio,0,0
11/01/14,Livorno,Parma,0,3
12/01/14,Atalanta,Catania,2,1
12/01/14,Cagliari,Juventus,1,4
12/01/14,Roma,Genoa,4,0
12/01/14,Sassuolo,Milan,4,3
12/01/14,Torino,Fiorentina,0,0
12/01/14,Verona,Napoli,0,3
13/01/14,Inter,Chievo,1,1
13/01/14,Sampdoria,Udinese,3,0
18/01/14,Juventus,Sampdoria,4,2
18/01/14,Roma,Livorno,3,0
19/01/14,Atalanta,Cagliari,1,0
19/01/14,Bologna,Napoli,2,2
