Date,HomeTeam,AwayTeam,FTHG,FTAG
30/08/14,Chievo,Juventus,0,1
30/08/14,Roma,Fiorentina,2,0
31/08/14,Atalanta,Verona,0,0
31/08/14,Cesena,Parma,1,0
31/08/14,Genoa,Napoli,1,2
31/08/14,Milan,Lazio,3,1
31/08/14,Palermo,Sampdoria,1,1
31/08/14,Sassuolo,Cagliari,1,1
31/08/14,Torino,Inter,0,0
31/08/14,Udinese,Empoli,2,0
13/09/14,Empoli,Roma,0,1
13/09/14,Juventus,Udinese,2,0
14/09/14,Cagliari,Atalanta,1,2
14/09/14,Fiorentina,Genoa,0,0
14/09/14,Inter,Sassuolo,7,0
14/09/14,Lazio,Cesena,3,0
14/09/14,Napoli,Chievo,0,1
14/09/14,Parma,Milan,4,5
14/09/14,Sampdoria,Torino,2,0
15/09/14,Verona,Palermo,2,1
20/09/14,Cesena,Empoli,2,2
20/09/14,Milan,Juventus,0,1
21/09/14,Atalanta,Fiorentina,0,1
21/09/14,Chievo,Parma,2,3
21/09/14,Genoa,Lazio,1,0
21/09/14,Palermo,Inter,1,1
21/09/14,Roma,Cagliari,2,0
21/09/14,Sassuolo,Sampdoria,0,0
21/09/14,Torino,Verona,0,1
21/09/14,Udinese,Napoli,1,0
23/09/14,Empoli,Milan,2,2
24/09/14,Cagliari,Torino,1,2
24/09/14,Fiorentina,Sassuolo,0,0
24/09/14,Inter,Atalanta,2,0
24/09/14,Juventus,Cesena,3,0
24/09/14,Napoli,Palermo,3,3
24/09/14,Parma,Roma,1,2
24/09/14,Sampdoria,Chievo,2,1
24/09/14,Verona,Genoa,2,2
25/09/14,Lazio,Udinese,0,1
27/09/14,Atalanta,Juventus,0,3
27/09/14,Roma,Verona,2,0
28/09/14,Cesena,Milan,1,1
28/09/14,Chievo,Empoli,1,1
28/09/14,Genoa,Sampdoria,0,1
28/09/14,Inter,Cagliari,1,4
28/09/14,Sassuolo,Napoli,0,1
28/09/14,Torino,Fiorentina,1,1
29/09/14,Palermo,Lazio,0,4
29/09/14,Udinese,Parma,4,2
04/10/14,Milan,Chievo,2,0
04/10/14,Verona,Cagliari,1,0
05/10/14,Empoli,Palermo,3,0
05/10/14,Fiorentina,Inter,3,0
05/10/14,Juventus,Roma,3,2
05/10/14,Lazio,Sassuolo,3,2
05/10/14,Napoli,Torino,2,1
05/10/14,Parma,Genoa,1,2
05/10/14,Sampdoria,Atalanta,1,0
05/10/14,Udinese,Cesena,1,1
18/10/14,Roma,Chievo,3,0
18/10/14,Sassuolo,Juventus,1,1
19/10/14,Atalanta,Parma,1,0
