Date,HomeTeam,AwayTeam,FTHG,FTAG
22/08/09,Bologna,Fiorentina,1,1
22/08/09,Siena,Milan,1,2
23/08/09,Catania,Sampdoria,1,2
23/08/09,Genoa,Roma,3,2
23/08/09,Inter,Bari,1,1
23/08/09,Juventus,Chievo,1,0
23/08/09,Lazio,Atalanta,1,0
23/08/09,Livorno,Cagliari,0,0
23/08/09,Palermo,Napoli,2,1
23/08/09,Udinese,Parma,2,2
29/08/09,Bari,Bologna,0,0
29/08/09,Milan,Inter,0,4
30/08/09,Atalanta,Genoa,0,1
30/08/09,Cagliari,Siena,1,3
30/08/09,Chievo,Lazio,1,2
30/08/09,Fiorentina,Palermo,1,0
30/08/09,Napoli,Livorno,3,1
30/08/09,Parma,Catania,2,1
30/08/09,Roma,Juventus,1,3
30/08/09,Sampdoria,Udinese,3,1
12/09/09,Lazio,Juventus,0,2
12/09/09,Livorno,Milan,0,0
13/09/09,Atalanta,Sampdoria,0,1
13/09/09,Bologna,Chievo,0,2
13/09/09,Fiorentina,Cagliari,1,0
13/09/09,Genoa,Napoli,4,1
13/09/09,Inter,Parma,2,0
13/09/09,Palermo,Bari,1,1
13/09/09,Siena,Roma,1,2
13/09/09,Udinese,Catania,4,2
19/09/09,Juventus,Livorno,2,0
19/09/09,Napoli,Udinese,0,0
20/09/09,Bari,Atalanta,4,1
20/09/09,Cagliari,Inter,1,2
20/09/09,Catania,Lazio,1,1
20/09/09,Chievo,Genoa,3,1
20/09/09,Milan,Bologna,1,0
20/09/09,Parma,Palermo,1,0
20/09/09,Roma,Fiorentina,3,1
20/09/09,Sampdoria,Siena,4,1
23/09/09,Atalanta,Catania,0,0
23/09/09,Bari,Cagliari,0,1
23/09/09,Bologna,Livorno,2,0
23/09/09,Fiorentina,Sampdoria,2,0
23/09/09,Inter,Napoli,3,1
23/09/09,Lazio,Parma,1,2
23/09/09,Palermo,Roma,3,3
23/09/09,Siena,Chievo,0,0
23/09/09,Udinese,Milan,1,0
24/09/09,Genoa,Juventus,2,2
26/09/09,Livorno,Fiorentina,0,1
26/09/09,Sampdoria,Inter,1,0
27/09/09,Catania,Roma,1,1
27/09/09,Chievo,Atalanta,1,1
27/09/09,Juventus,Bologna,1,1
27/09/09,Lazio,Palermo,1,1
27/09/09,Milan,Bari,0,0
27/09/09,Napoli,Siena,2,1
27/09/09,Parma,Cagliari,0,2
27/09/09,Udinese,Genoa,2,0
03/10/09,Bari,Catania,0,0
03/10/09,Inter,Udinese,2,1
04/10/09,Atalanta,Milan,1,1
04/10/09,Bologna,Genoa,1,3
04/10/09,Cagliari,Chievo,1,2
04/10/09,Fiorentina,Lazio,0,0
04/10/09,Palermo,Juventus,2,0
04/10/09,Roma,Napoli,2,1
04/10/09,Sampdoria,Parma,1,1
04/10/09,Siena,Livorno,0,0
17/10/09,Genoa,Inter,0,5
17/10/09,Juventus,Fiorentina,1,1
18/10/09,Catania,Cagliari,2,1
18/10/09,Chievo,Bari,1,2
18/10/09,Lazio,Sampdoria,1,1
18/10/09,Livorno,Palermo,1,2
18/10/09,Milan,Roma,2,1
18/10/09,Napoli,Bologna,2,1
18/10/09,Parma,Siena,1,0
18/10/09,Udinese,Atalanta,1,3
24/10/09,Inter,Catania,2,1
24/10/09,Sampdoria,Bologna,4,1
25/10/09,Atalanta,Parma,3,1
25/10/09,Bari,Lazio,2,0
25/10/09,Cagliari,Genoa,3,2
25/10/09,Chievo,Milan,1,2
25/10/09,Fiorentina,Napoli,0,1
25/10/09,Palermo,Udinese,1,0
25/10/09,Roma,Livorno,0,1
25/10/09,Siena,Juventus,0,1
28/10/09,Bologna,Siena,2,1
28/10/09,Catania,Chievo,1,2
28/10/09,Genoa,Fiorentina,2,1
28/10/09,Juventus,Sampdoria,5,1
28/10/09,Lazio,Cagliari,0,1
28/10/09,Livorno,Atalanta,1,0
28/10/09,Napoli,Milan,2,2
28/10/09,Parma,Bari,2,0
28/10/09,Udinese,Roma,2,1
29/10/09,Inter,Palermo,5,3
31/10/09,Juventus,Napoli,2,3
31/10/09,Milan,Parma,2,0
01/11/09,Cagliari,Atalanta,3,0
01/11/09,Chievo,Udinese,1,1
01/11/09,Fiorentina,Catania,3,1
01/11/09,Livorno,Inter,0,2
01/11/09,Palermo,Genoa,0,0
01/11/09,Roma,Bologna,2,1
01/11/09,Sampdoria,Bari,0,0
01/11/09,Siena,Lazio,1,1
07/11/09,Atalanta,Juventus,2,5
07/11/09,Catania,Napoli,0,0
08/11/09,Bari,Livorno,1,0
08/11/09,Bologna,Palermo,3,1
08/11/09,Cagliari,Sampdoria,2,0
08/11/09,Genoa,Siena,4,2
08/11/09,Inter,Roma,1,1
08/11/09,Lazio,Milan,1,2
08/11/09,Parma,Chievo,2,0
08/11/09,Udinese,Fiorentina,0,1
21/11/09,Bologna,Inter,1,3
21/11/09,Fiorentina,Parma,2,3
22/11/09,Juventus,Udinese,1,0
22/11/09,Livorno,Genoa,2,1
22/11/09,Milan,Cagliari,4,3
22/11/09,Napoli,Lazio,0,0
22/11/09,Palermo,Catania,1,1
22/11/09,Roma,Bari,3,1
22/11/09,Sampdoria,Chievo,2,1
22/11/09,Siena,Atalanta,0,2
28/11/09,Genoa,Sampdoria,3,0
28/11/09,Udinese,Livorno,2,0
29/11/09,Atalanta,Roma,1,2
29/11/09,Bari,Siena,2,1
29/11/09,Cagliari,Juventus,2,0
29/11/09,Catania,Milan,0,2
