Date,HomeTeam,AwayTeam,FTHG,FTAG
30/09/00,Bari,Verona,1,1
30/09/00,Napoli,Juventus,1,2
01/10/00,Atalanta,Lazio,2,2
01/10/00,Milan,Vicenza,2,0
01/10/00,Parma,Fiorentina,2,2
01/10/00,Perugia,Lecce,1,1
01/10/00,Reggina,Inter,2,1
01/10/00,Roma,Bologna,2,0
01/10/00,Udinese,Brescia,4,2
14/10/00,Inter,Napoli,3,1
14/10/00,Lazio,Perugia,3,0
15/10/00,Bologna,Milan,2,1
15/10/00,Brescia,Parma,0,0
15/10/00,Fiorentina,Reggina,2,1
15/10/00,Juventus,Bari,2,0
15/10/00,Lecce,Roma,0,4
15/10/00,Verona,Udinese,1,1
15/10/00,Vicenza,Atalanta,1,2
21/10/00,Milan,Juventus,2,2
21/10/00,Udinese,Inter,3,0
22/10/00,Bari,Atalanta,0,2
22/10/00,Brescia,Fiorentina,1,1
22/10/00,Napoli,Bologna,1,5
22/10/00,Perugia,Parma,3,1
22/10/00,Reggina,Lecce,0,1
22/10/00,Roma,Vicenza,3,1
22/10/00,Verona,Lazio,2,0
01/11/00,Atalanta,Verona,3,0
01/11/00,Bologna,Reggina,2,0
01/11/00,Fiorentina,Bari,2,2
01/11/00,Inter,Roma,2,0
01/11/00,Juventus,Udinese,1,2
01/11/00,Lazio,Brescia,2,1
01/11/00,Lecce,Napoli,1,1
01/11/00,Parma,Milan,2,0
01/11/00,Vicenza,Perugia,1,0
04/11/00,Fiorentina,Perugia,3,4
04/11/00,Lazio,Bologna,2,0
05/11/00,Bari,Parma,0,1
05/11/00,Brescia,Roma,2,4
05/11/00,Milan,Atalanta,3,3
05/11/00,Napoli,Vicenza,1,2
05/11/00,Reggina,Juventus,0,2
05/11/00,Udinese,Lecce,2,0
05/11/00,Verona,Inter,2,2
11/11/00,Atalanta,Brescia,2,0
11/11/00,Juventus,Lazio,1,1
12/11/00,Bari,Milan,1,3
12/11/00,Bologna,Fiorentina,1,1
12/11/00,Inter,Lecce,0,1
12/11/00,Parma,Udinese,2,0
12/11/00,Perugia,Napoli,1,1
12/11/00,Roma,Reggina,2,1
12/11/00,Vicenza,Verona,2,2
18/11/00,Inter,Perugia,2,1
18/11/00,Lazio,Milan,1,1
19/11/00,Bologna,Parma,2,1
19/11/00,Brescia,Juventus,0,0
19/11/00,Fiorentina,Vicenza,3,2
19/11/00,Lecce,Bari,2,0
19/11/00,Napoli,Atalanta,0,0
19/11/00,Udinese,Reggina,3,0
19/11/00,Verona,Roma,1,4
25/11/00,Atalanta,Lecce,1,0
25/11/00,Milan,Napoli,1,0
26/11/00,Bari,Udinese,2,1
26/11/00,Juventus,Verona,2,1
26/11/00,Parma,Lazio,2,0
26/11/00,Perugia,Bologna,1,3
26/11/00,Reggina,Brescia,0,3
26/11/00,Roma,Fiorentina,1,0
26/11/00,Vicenza,Inter,0,0
02/12/00,Lazio,Reggina,2,0
02/12/00,Parma,Atalanta,2,0
03/12/00,Bologna,Vicenza,1,1
03/12/00,Inter,Juventus,2,2
03/12/00,Lecce,Fiorentina,1,1
03/12/00,Napoli,Bari,1,0
03/12/00,Perugia,Roma,0,0
03/12/00,Udinese,Milan,0,1
03/12/00,Verona,Brescia,2,1
09/12/00,Brescia,Napoli,1,1
09/12/00,Reggina,Verona,1,1
10/12/00,Atalanta,Perugia,0,0
10/12/00,Bari,Bologna,2,0
10/12/00,Fiorentina,Inter,2,0
10/12/00,Juventus,Parma,1,0
10/12/00,Milan,Lecce,4,1
10/12/00,Roma,Udinese,2,1
10/12/00,Vicenza,Lazio,1,4
16/12/00,Napoli,Reggina,6,2
16/12/00,Perugia,Bari,4,1
17/12/00,Bologna,Atalanta,0,1
17/12/00,Inter,Brescia,0,0
17/12/00,Lazio,Roma,0,1
17/12/00,Lecce,Juventus,1,4
17/12/00,Parma,Vicenza,0,2
17/12/00,Udinese,Fiorentina,1,3
17/12/00,Verona,Milan,1,1
22/12/00,Bari,Lazio,1,2
22/12/00,Roma,Juventus,0,0
23/12/00,Atalanta,Inter,0,1
23/12/00,Brescia,Lecce,2,2
23/12/00,Fiorentina,Verona,2,0
23/12/00,Milan,Perugia,1,2
23/12/00,Napoli,Parma,2,2
23/12/00,Reggina,Vicenza,1,0
23/12/00,Udinese,Bologna,3,1
06/01/01,Juventus,Fiorentina,3,3
06/01/01,Vicenza,Bari,1,0
07/01/01,Atalanta,Roma,0,2
07/01/01,Bologna,Brescia,1,0
07/01/01,Lazio,Napoli,1,2
07/01/01,Lecce,Verona,4,2
07/01/01,Milan,Inter,2,2
07/01/01,Parma,Reggina,0,2
07/01/01,Perugia,Udinese,3,1
13/01/01,Brescia,Perugia,1,0
13/01/01,Fiorentina,Milan,4,0
14/01/01,Inter,Parma,1,1
14/01/01,Juventus,Bologna,1,0
14/01/01,Lecce,Vicenza,3,1
14/01/01,Reggina,Atalanta,1,0
14/01/01,Roma,Bari,1,1
14/01/01,Udinese,Lazio,3,4
14/01/01,Verona,Napoli,2,1
20/01/01,Bologna,Verona,1,0
20/01/01,Lazio,Inter,2,0
21/01/01,Atalanta,Fiorentina,0,0
21/01/01,Bari,Reggina,2,1
21/01/01,Milan,Roma,3,2
21/01/01,Napoli,Udinese,0,1
21/01/01,Parma,Lecce,1,1
21/01/01,Perugia,Juventus,0,1
21/01/01,Vicenza,Brescia,1,1
27/01/01,Lecce,Bologna,0,0
27/01/01,Reggina,Perugia,0,2
28/01/01,Brescia,Milan,1,1
28/01/01,Fiorentina,Lazio,1,4
28/01/01,Inter,Bari,1,0
28/01/01,Juventus,Vicenza,4,0
28/01/01,Roma,Napoli,3,0
28/01/01,Udinese,Atalanta,2,4
28/01/01,Verona,Parma,0,2
03/02/01,Atalanta,Juventus,2,1
03/02/01,Perugia,Verona,1,0
04/02/01,Bari,Brescia,1,3
04/02/01,Bologna,Inter,0,3
04/02/01,Lazio,Lecce,3,2
04/02/01,Milan,Reggina,1,0
04/02/01,Napoli,Fiorentina,1,0
04/02/01,Parma,Roma,1,2
04/02/01,Vicenza,Udinese,1,2
10/02/01,Inter,Reggina,1,1
10/02/01,Lazio,Atalanta,0,0
11/02/01,Bologna,Roma,1,2
11/02/01,Brescia,Udinese,3,1
11/02/01,Fiorentina,Parma,0,1
11/02/01,Juventus,Napoli,3,0
11/02/01,Lecce,Perugia,2,2
11/02/01,Verona,Bari,3,2
11/02/01,Vicenza,Milan,2,0
17/02/01,Milan,Bologna,3,3
17/02/01,Udinese,Verona,2,1
18/02/01,Atalanta,Vicenza,1,1
18/02/01,Bari,Juventus,0,1
18/02/01,Napoli,Inter,1,0
18/02/01,Parma,Brescia,3,0
18/02/01,Perugia,Lazio,0,1
18/02/01,Reggina,Fiorentina,1,1
18/02/01,Roma,Lecce,1,0
24/02/01,Atalanta,Bari,0,0
24/02/01,Fiorentina,Brescia,2,2
25/02/01,Bologna,Napoli,2,1
25/02/01,Inter,Udinese,2,1
25/02/01,Juventus,Milan,3,0
25/02/01,Lazio,Verona,5,3
25/02/01,Lecce,Reggina,2,1
25/02/01,Parma,Perugia,5,0
25/02/01,Vicenza,Roma,0,2
03/03/01,Brescia,Lazio,0,1
03/03/01,Reggina,Bologna,2,1
04/03/01,Bari,Fiorentina,2,1
04/03/01,Milan,Parma,2,2
04/03/01,Napoli,Lecce,1,1
04/03/01,Perugia,Vicenza,1,0
04/03/01,Roma,Inter,3,2
04/03/01,Udinese,Juventus,0,2
04/03/01,Verona,Atalanta,2,1
10/03/01,Atalanta,Milan,1,1
10/03/01,Vicenza,Napoli,2,0
11/03/01,Bologna,Lazio,2,0
11/03/01,Inter,Verona,2,0
11/03/01,Juventus,Reggina,1,0
11/03/01,Lecce,Udinese,2,1
11/03/01,Parma,Bari,4,0
11/03/01,Perugia,Fiorentina,2,2
11/03/01,Roma,Brescia,3,1
18/03/01,Fiorentina,Bologna,1,1
18/03/01,Lazio,Juventus,4,1
18/03/01,Lecce,Inter,1,2
18/03/01,Milan,Bari,4,0
18/03/01,Napoli,Perugia,0,0
18/03/01,Reggina,Roma,0,0
18/03/01,Udinese,Parma,1,3
18/03/01,Verona,Vicenza,1,0
19/03/01,Brescia,Atalanta,0,3
31/03/01,Bari,Lecce,3,2
31/03/01,Vicenza,Fiorentina,1,1
01/04/01,Atalanta,Napoli,1,1
01/04/01,Juventus,Brescia,1,1
01/04/01,Milan,Lazio,1,0
01/04/01,Parma,Bologna,0,0
01/04/01,Perugia,Inter,2,3
01/04/01,Reggina,Udinese,1,1
01/04/01,Roma,Verona,3,1
08/04/01,Bologna,Perugia,3,2
08/04/01,Brescia,Reggina,4,0
08/04/01,Inter,Vicenza,1,1
08/04/01,Lecce,Atalanta,0,2
08/04/01,Napoli,Milan,0,0
08/04/01,Udinese,Bari,2,0
08/04/01,Verona,Juventus,0,1
09/04/01,Fiorentina,Roma,3,1
14/04/01,Atalanta,Parma,0,1
14/04/01,Bari,Napoli,0,1
14/04/01,Brescia,Verona,1,0
14/04/01,Fiorentina,Lecce,2,0
14/04/01,Juventus,Inter,3,1
14/04/01,Milan,Udinese,3,0
14/04/01,Reggina,Lazio,0,2
14/04/01,Roma,Perugia,2,2
14/04/01,Vicenza,Bologna,4,2
18/04/01,Lazio,Parma,1,0
21/04/01,Inter,Fiorentina,4,2
21/04/01,Napoli,Brescia,1,1
22/04/01,Bologna,Bari,4,2
22/04/01,Lazio,Vicenza,2,1
22/04/01,Lecce,Milan,3,3
22/04/01,Parma,Juventus,0,0
22/04/01,Perugia,Atalanta,2,2
22/04/01,Udinese,Roma,1,3
22/04/01,Verona,Reggina,0,3
28/04/01,Reggina,Napoli,3,1
28/04/01,Vicenza,Parma,0,1
29/04/01,Atalanta,Bologna,2,2
29/04/01,Bari,Perugia,3,4
29/04/01,Brescia,Inter,1,0
29/04/01,Fiorentina,Udinese,2,1
29/04/01,Juventus,Lecce,1,1
29/04/01,Milan,Verona,1,0
29/04/01,Roma,Lazio,2,2
05/05/01,Bologna,Udinese,1,1
05/05/01,Lecce,Brescia,0,3
06/05/01,Inter,Atalanta,3,0
06/05/01,Juventus,Roma,2,2
06/05/01,Lazio,Bari,2,0
06/05/01,Parma,Napoli,4,0
06/05/01,Perugia,Milan,2,1
06/05/01,Verona,Fiorentina,2,1
06/05/01,Vicenza,Reggina,2,1
11/05/01,Fiorentina,Juventus,1,3
11/05/01,Inter,Milan,0,6
12/05/01,Bari,Vicenza,2,2
12/05/01,Brescia,Bologna,0,0
12/05/01,Napoli,Lazio,2,4
12/05/01,Reggina,Parma,2,0
12/05/01,Roma,Atalanta,1,0
12/05/01,Udinese,Perugia,3,3
12/05/01,Verona,Lecce,0,0
17/05/01,Milan,Fiorentina,1,2
17/05/01,Parma,Inter,3,1
20/05/01,Atalanta,Reggina,1,1
20/05/01,Bari,Roma,1,4
20/05/01,Bologna,Juventus,1,4
20/05/01,Lazio,Udinese,3,1
20/05/01,Napoli,Verona,2,0
20/05/01,Perugia,Brescia,2,2
20/05/01,Vicenza,Lecce,0,0
27/05/01,Brescia,Vicenza,2,1
27/05/01,Fiorentina,Atalanta,1,1
27/05/01,Inter,Lazio,1,1
27/05/01,Juventus,Perugia,1,0
27/05/01,Lecce,Parma,1,2
27/05/01,Reggina,Bari,1,0
27/05/01,Roma,Milan,1,1
27/05/01,Udinese,Napoli,0,0
27/05/01,Verona,Bologna,5,4
10/06/01,Atalanta,Udinese,0,1
10/06/01,Bari,Inter,1,2
10/06/01,Bologna,Lecce,2,2
10/06/01,Lazio,Fiorentina,3,0
10/06/01,Milan,Brescia,1,1
10/06/01,Napoli,Roma,2,2
10/06/01,Parma,Verona,1,2
10/06/01,Perugia,Reggina,1,1
10/06/01,Vicenza,Juventus,0,3
17/06/01,Brescia,Bari,3,1
17/06/01,Fiorentina,Napoli,1,2
