Date,HomeTeam,AwayTeam,FTHG,FTAG
19/08/17,Juventus,Cagliari,3,0
19/08/17,Verona,Napoli,1,3
20/08/17,Atalanta,Roma,0,1
20/08/17,Bologna,Torino,1,1
20/08/17,Crotone,Milan,0,3
20/08/17,Inter,Fiorentina,3,0
20/08/17,Lazio,Spal,0,0
20/08/17,Sampdoria,Benevento,2,1
20/08/17,Sassuolo,Genoa,0,0
20/08/17,Udinese,Chievo,1,2
26/08/17,Benevento,Bologna,0,1
26/08/17,Genoa,Juventus,2,4
26/08/17,Roma,Inter,1,3
27/08/17,Chievo,Lazio,1,2
27/08/17,Crotone,Verona,0,0
27/08/17,Fiorentina,Sampdoria,1,2
27/08/17,Milan,Cagliari,2,1
27/08/17,Napoli,Atalanta,3,1
27/08/17,Spal,Udinese,3,2
27/08/17,Torino,Sassuolo,3,0
09/09/17,Juventus,Chievo,3,0
10/09/17,Atalanta,Sassuolo,2,1
10/09/17,Benevento,Torino,0,1
10/09/17,Bologna,Napoli,0,3
10/09/17,Cagliari,Crotone,1,0
10/09/17,Inter,Spal,2,0
10/09/17,Lazio,Milan,4,1
10/09/17,Udinese,Genoa,1,0
10/09/17,Verona,Fiorentina,0,5
16/09/17,Crotone,Inter,0,2
16/09/17,Fiorentina,Bologna,2,1
16/09/17,Roma,Verona,3,0
17/09/17,Chievo,Atalanta,1,1
17/09/17,Genoa,Lazio,2,3
17/09/17,Milan,Udinese,2,1
17/09/17,Napoli,Benevento,6,0
17/09/17,Sassuolo,Juventus,1,3
17/09/17,Spal,Cagliari,0,2
17/09/17,Torino,Sampdoria,2,2
19/09/17,Bologna,Inter,1,1
20/09/17,Atalanta,Crotone,5,1
20/09/17,Benevento,Roma,0,4
20/09/17,Cagliari,Sassuolo,0,1
20/09/17,Genoa,Chievo,1,1
20/09/17,Juventus,Fiorentina,1,0
20/09/17,Lazio,Napoli,1,4
20/09/17,Milan,Spal,2,0
20/09/17,Udinese,Torino,2,3
20/09/17,Verona,Sampdoria,0,0
23/09/17,Juventus,Torino,4,0
23/09/17,Roma,Udinese,3,1
23/09/17,Spal,Napoli,2,3
24/09/17,Cagliari,Chievo,0,2
24/09/17,Crotone,Benevento,2,0
24/09/17,Fiorentina,Atalanta,1,1
24/09/17,Inter,Genoa,1,0
24/09/17,Sampdoria,Milan,2,0
24/09/17,Sassuolo,Bologna,0,1
24/09/17,Verona,Lazio,0,3
30/09/17,Genoa,Bologna,0,1
30/09/17,Udinese,Sampdoria,4,0
01/10/17,Atalanta,Juventus,2,2
01/10/17,Benevento,Inter,1,2
01/10/17,Chievo,Fiorentina,2,1
01/10/17,Lazio,Sassuolo,6,1
01/10/17,Milan,Roma,0,2
01/10/17,Napoli,Cagliari,3,0
01/10/17,Spal,Crotone,1,1
01/10/17,Torino,Verona,2,2
14/10/17,Juventus,Lazio,1,2
14/10/17,Roma,Napoli,0,1
15/10/17,Bologna,Spal,2,1
15/10/17,Cagliari,Genoa,2,3
