Date,HomeTeam,AwayTeam,FTHG,FTAG
09/09/06,Fiorentina,Inter,2,3
09/09/06,Roma,Livorno,2,0
10/09/06,Atalanta,Ascoli,3,1
10/09/06,Cagliari,Catania,0,1
10/09/06,Chievo,Siena,1,2
10/09/06,Messina,Udinese,1,0
10/09/06,Milan,Lazio,2,1
10/09/06,Palermo,Reggina,4,3
10/09/06,Sampdoria,Empoli,1,2
10/09/06,Torino,Parma,1,1
16/09/06,Inter,Sampdoria,1,1
16/09/06,Reggina,Cagliari,2,1
17/09/06,Ascoli,Messina,1,1
17/09/06,Catania,Atalanta,0,0
17/09/06,Empoli,Chievo,1,1
17/09/06,Lazio,Palermo,1,2
17/09/06,Livorno,Fiorentina,1,0
17/09/06,Parma,Milan,0,2
17/09/06,Siena,Roma,1,3
17/09/06,Udinese,Torino,2,0
20/09/06,Atalanta,Empoli,0,0
20/09/06,Cagliari,Livorno,2,2
20/09/06,Chievo,Lazio,0,1
20/09/06,Fiorentina,Parma,1,0
20/09/06,Messina,Reggina,2,0
20/09/06,Milan,Ascoli,1,0
20/09/06,Palermo,Catania,5,3
20/09/06,Roma,Inter,0,1
20/09/06,Sampdoria,Udinese,3,3
20/09/06,Torino,Siena,1,2
23/09/06,Catania,Messina,2,2
23/09/06,Livorno,Milan,0,0
24/09/06,Ascoli,Sampdoria,1,1
24/09/06,Empoli,Palermo,2,0
24/09/06,Inter,Chievo,4,3
24/09/06,Lazio,Atalanta,1,0
24/09/06,Parma,Roma,0,4
24/09/06,Reggina,Torino,1,1
24/09/06,Siena,Cagliari,0,0
24/09/06,Udinese,Fiorentina,1,0
30/09/06,Atalanta,Reggina,1,1
30/09/06,Torino,Lazio,0,4
01/10/06,Cagliari,Inter,1,1
01/10/06,Chievo,Palermo,0,1
01/10/06,Fiorentina,Catania,3,0
01/10/06,Messina,Livorno,0,1
01/10/06,Milan,Siena,0,0
01/10/06,Roma,Empoli,1,0
01/10/06,Sampdoria,Parma,3,2
01/10/06,Udinese,Ascoli,0,0
14/10/06,Sampdoria,Milan,1,1
14/10/06,Siena,Messina,3,1
15/10/06,Ascoli,Livorno,0,2
15/10/06,Empoli,Fiorentina,1,2
15/10/06,Inter,Catania,2,1
15/10/06,Lazio,Cagliari,0,0
15/10/06,Palermo,Atalanta,2,3
15/10/06,Parma,Udinese,0,3
15/10/06,Reggina,Roma,1,0
15/10/06,Torino,Chievo,1,0
21/10/06,Cagliari,Torino,0,0
21/10/06,Messina,Empoli,2,2
22/10/06,Atalanta,Sampdoria,3,2
22/10/06,Catania,Lazio,3,1
22/10/06,Fiorentina,Reggina,3,0
22/10/06,Livorno,Siena,0,0
22/10/06,Milan,Palermo,0,2
22/10/06,Parma,Ascoli,1,0
22/10/06,Roma,Chievo,1,1
22/10/06,Udinese,Inter,0,0
25/10/06,Atalanta,Cagliari,3,3
25/10/06,Chievo,Milan,0,1
25/10/06,Empoli,Udinese,1,1
25/10/06,Inter,Livorno,4,1
25/10/06,Palermo,Messina,2,1
25/10/06,Reggina,Parma,3,2
25/10/06,Roma,Ascoli,2,2
25/10/06,Sampdoria,Lazio,2,0
25/10/06,Siena,Catania,1,1
25/10/06,Torino,Fiorentina,0,1
28/10/06,Milan,Inter,3,4
28/10/06,Udinese,Roma,0,1
29/10/06,Ascoli,Siena,0,1
29/10/06,Cagliari,Sampdoria,1,0
29/10/06,Catania,Torino,1,1
29/10/06,Fiorentina,Palermo,2,3
29/10/06,Lazio,Reggina,0,0
29/10/06,Livorno,Empoli,0,0
29/10/06,Messina,Chievo,2,1
29/10/06,Parma,Atalanta,3,1
04/11/06,Reggina,Catania,0,1
04/11/06,Siena,Parma,2,2
05/11/06,Atalanta,Milan,2,0
05/11/06,Chievo,Cagliari,0,0
05/11/06,Empoli,Lazio,1,1
05/11/06,Inter,Ascoli,2,0
05/11/06,Livorno,Udinese,1,0
05/11/06,Palermo,Sampdoria,2,0
05/11/06,Roma,Fiorentina,3,1
05/11/06,Torino,Messina,1,1
11/11/06,Fiorentina,Atalanta,3,1
11/11/06,Milan,Roma,1,2
12/11/06,Ascoli,Empoli,0,1
12/11/06,Catania,Livorno,3,2
12/11/06,Lazio,Udinese,5,0
12/11/06,Messina,Cagliari,2,2
12/11/06,Palermo,Torino,3,0
12/11/06,Parma,Inter,1,2
12/11/06,Sampdoria,Chievo,3,0
12/11/06,Siena,Reggina,0,1
18/11/06,Cagliari,Palermo,1,0
18/11/06,Empoli,Milan,0,0
19/11/06,Ascoli,Fiorentina,1,1
19/11/06,Chievo,Atalanta,2,2
19/11/06,Inter,Reggina,1,0
19/11/06,Livorno,Parma,3,0
19/11/06,Messina,Lazio,1,4
19/11/06,Roma,Catania,7,0
19/11/06,Torino,Sampdoria,1,0
19/11/06,Udinese,Siena,3,0
25/11/06,Chievo,Udinese,2,0
25/11/06,Milan,Messina,1,0
26/11/06,Atalanta,Torino,1,2
26/11/06,Catania,Parma,2,0
26/11/06,Empoli,Cagliari,1,0
26/11/06,Lazio,Ascoli,3,1
26/11/06,Palermo,Inter,1,2
26/11/06,Reggina,Livorno,2,2
26/11/06,Sampdoria,Roma,2,4
26/11/06,Siena,Fiorentina,1,1
02/12/06,Inter,Siena,2,0
02/12/06,Roma,Atalanta,2,1
03/12/06,Ascoli,Catania,2,2
03/12/06,Cagliari,Milan,2,2
03/12/06,Fiorentina,Lazio,1,0
03/12/06,Livorno,Chievo,0,2
03/12/06,Messina,Sampdoria,0,2
03/12/06,Parma,Palermo,0,0
03/12/06,Torino,Empoli,1,0
03/12/06,Udinese,Reggina,1,1
09/12/06,Palermo,Livorno,3,0
09/12/06,Reggina,Ascoli,2,1
10/12/06,Atalanta,Messina,3,2
10/12/06,Cagliari,Parma,0,0
10/12/06,Catania,Udinese,1,0
10/12/06,Chievo,Fiorentina,0,1
10/12/06,Empoli,Inter,0,3
10/12/06,Lazio,Roma,3,0
10/12/06,Milan,Torino,0,0
10/12/06,Sampdoria,Siena,0,0
16/12/06,Fiorentina,Milan,2,2
16/12/06,Udinese,Cagliari,3,1
17/12/06,Ascoli,Torino,0,2
17/12/06,Inter,Messina,2,0
17/12/06,Livorno,Lazio,1,1
17/12/06,Parma,Chievo,2,2
17/12/06,Reggina,Sampdoria,0,1
17/12/06,Roma,Palermo,4,0
17/12/06,Siena,Atalanta,1,1
20/12/06,Atalanta,Udinese,1,2
20/12/06,Cagliari,Fiorentina,0,2
20/12/06,Chievo,Reggina,3,2
20/12/06,Empoli,Siena,1,0
20/12/06,Lazio,Inter,0,2
20/12/06,Messina,Parma,1,1
20/12/06,Milan,Catania,3,0
20/12/06,Palermo,Ascoli,4,0
20/12/06,Sampdoria,Livorno,4,1
20/12/06,Torino,Roma,1,2
23/12/06,Ascoli,Chievo,3,0
23/12/06,Catania,Sampdoria,4,2
23/12/06,Fiorentina,Messina,4,0
23/12/06,Inter,Atalanta,2,1
23/12/06,Livorno,Torino,1,1
23/12/06,Parma,Lazio,1,3
23/12/06,Reggina,Empoli,4,1
23/12/06,Roma,Cagliari,2,0
23/12/06,Siena,Palermo,1,1
23/12/06,Udinese,Milan,0,3
13/01/07,Empoli,Parma,2,0
13/01/07,Torino,Inter,1,3
14/01/07,Atalanta,Livorno,5,1
14/01/07,Cagliari,Ascoli,1,0
14/01/07,Chievo,Catania,2,1
14/01/07,Lazio,Siena,1,1
14/01/07,Messina,Roma,1,1
14/01/07,Milan,Reggina,3,1
14/01/07,Palermo,Udinese,2,0
14/01/07,Sampdoria,Fiorentina,0,0
20/01/07,Ascoli,Atalanta,1,3
20/01/07,Reggina,Palermo,0,0
21/01/07,Catania,Cagliari,0,1
21/01/07,Empoli,Sampdoria,2,0
21/01/07,Inter,Fiorentina,3,1
21/01/07,Lazio,Milan,0,0
21/01/07,Livorno,Roma,1,1
21/01/07,Parma,Torino,1,0
21/01/07,Siena,Chievo,2,1
21/01/07,Udinese,Messina,1,0
