Date,HomeTeam,AwayTeam,FTHG,FTAG
09/09/11,Milan,Lazio,2,2
10/09/11,Cesena,Napoli,1,3
11/09/11,Catania,Siena,0,0
11/09/11,Chievo,Novara,2,2
11/09/11,Fiorentina,Bologna,2,0
11/09/11,Genoa,Atalanta,2,2
11/09/11,Juventus,Parma,4,1
11/09/11,Lecce,Udinese,0,2
11/09/11,Palermo,Inter,4,3
11/09/11,Roma,Cagliari,1,2
17/09/11,Cagliari,Novara,2,1
17/09/11,Inter,Roma,0,0
18/09/11,Atalanta,Palermo,1,0
18/09/11,Bologna,Lecce,0,2
18/09/11,Catania,Cesena,1,0
18/09/11,Lazio,Genoa,1,2
18/09/11,Napoli,Milan,3,1
18/09/11,Parma,Chievo,2,1
18/09/11,Siena,Juventus,0,1
18/09/11,Udinese,Fiorentina,2,0
20/09/11,Novara,Inter,3,1
21/09/11,Cesena,Lazio,1,2
21/09/11,Chievo,Napoli,1,0
21/09/11,Fiorentina,Parma,3,0
21/09/11,Genoa,Catania,3,0
21/09/11,Juventus,Bologna,1,1
21/09/11,Lecce,Atalanta,1,2
21/09/11,Milan,Udinese,1,1
21/09/11,Palermo,Cagliari,3,2
22/09/11,Roma,Siena,1,1
24/09/11,Bologna,Inter,1,3
24/09/11,Milan,Cesena,1,0
24/09/11,Napoli,Fiorentina,0,0
25/09/11,Atalanta,Novara,2,1
25/09/11,Cagliari,Udinese,0,0
25/09/11,Catania,Juventus,1,1
25/09/11,Chievo,Genoa,2,1
25/09/11,Lazio,Palermo,0,0
25/09/11,Parma,Roma,0,1
25/09/11,Siena,Lecce,3,0
01/10/11,Inter,Napoli,0,3
01/10/11,Roma,Atalanta,3,1
02/10/11,Cesena,Chievo,0,0
02/10/11,Fiorentina,Lazio,1,2
02/10/11,Juventus,Milan,2,0
02/10/11,Lecce,Cagliari,0,2
02/10/11,Novara,Catania,3,3
02/10/11,Palermo,Siena,2,0
02/10/11,Parma,Genoa,3,1
02/10/11,Udinese,Bologna,2,0
15/10/11,Catania,Inter,2,1
15/10/11,Milan,Palermo,3,0
15/10/11,Napoli,Parma,1,2
16/10/11,Atalanta,Udinese,0,0
16/10/11,Cagliari,Siena,0,0
16/10/11,Cesena,Fiorentina,0,0
16/10/11,Chievo,Juventus,0,0
16/10/11,Genoa,Lecce,0,0
16/10/11,Lazio,Roma,2,1
16/10/11,Novara,Bologna,0,2
22/10/11,Fiorentina,Catania,2,2
22/10/11,Juventus,Genoa,2,2
23/10/11,Bologna,Lazio,0,2
23/10/11,Cagliari,Napoli,0,0
23/10/11,Inter,Chievo,1,0
23/10/11,Lecce,Milan,3,4
23/10/11,Parma,Atalanta,1,2
23/10/11,Roma,Palermo,1,0
23/10/11,Siena,Cesena,2,0
23/10/11,Udinese,Novara,3,0
25/10/11,Juventus,Fiorentina,2,1
26/10/11,Atalanta,Inter,1,1
26/10/11,Cesena,Cagliari,1,1
26/10/11,Chievo,Bologna,0,1
26/10/11,Genoa,Roma,2,1
26/10/11,Lazio,Catania,1,1
26/10/11,Milan,Parma,4,1
26/10/11,Napoli,Udinese,2,0
26/10/11,Novara,Siena,1,1
27/10/11,Palermo,Lecce,2,0
29/10/11,Catania,Napoli,2,1
29/10/11,Inter,Juventus,1,2
29/10/11,Roma,Milan,2,3
30/10/11,Bologna,Atalanta,3,1
30/10/11,Cagliari,Lazio,0,3
30/10/11,Fiorentina,Genoa,1,0
30/10/11,Lecce,Novara,1,1
30/10/11,Parma,Cesena,2,0
30/10/11,Siena,Chievo,4,1
30/10/11,Udinese,Palermo,1,0
05/11/11,Novara,Roma,0,2
05/11/11,Palermo,Bologna,3,1
06/11/11,Atalanta,Cagliari,1,0
06/11/11,Cesena,Lecce,0,1
06/11/11,Chievo,Fiorentina,1,0
06/11/11,Lazio,Parma,1,0
06/11/11,Milan,Catania,4,0
06/11/11,Udinese,Siena,2,1
19/11/11,Fiorentina,Milan,0,0
19/11/11,Inter,Cagliari,2,1
19/11/11,Napoli,Lazio,0,0
20/11/11,Bologna,Cesena,0,1
20/11/11,Catania,Chievo,1,2
20/11/11,Genoa,Novara,1,0
20/11/11,Juventus,Palermo,3,0
20/11/11,Parma,Udinese,2,0
20/11/11,Roma,Lecce,2,1
