Date,HomeTeam,AwayTeam,FTHG,FTAG
30/08/08,Sampdoria,Inter,1,1
30/08/08,Udinese,Palermo,3,1
31/08/08,Atalanta,Siena,1,0
31/08/08,Cagliari,Lazio,1,4
31/08/08,Catania,Genoa,1,0
31/08/08,Chievo,Reggina,2,1
31/08/08,Fiorentina,Juventus,1,1
31/08/08,Milan,Bologna,1,2
31/08/08,Roma,Napoli,1,1
31/08/08,Torino,Lecce,3,0
13/09/08,Inter,Catania,2,1
13/09/08,Palermo,Roma,3,1
14/09/08,Bologna,Atalanta,0,1
14/09/08,Genoa,Milan,2,0
14/09/08,Juventus,Udinese,1,0
14/09/08,Lazio,Sampdoria,2,0
14/09/08,Lecce,Chievo,2,0
14/09/08,Napoli,Fiorentina,2,1
14/09/08,Reggina,Torino,1,1
14/09/08,Siena,Cagliari,2,0
20/09/08,Catania,Atalanta,1,0
20/09/08,Roma,Reggina,3,0
21/09/08,Cagliari,Juventus,0,1
21/09/08,Fiorentina,Bologna,1,0
21/09/08,Lecce,Siena,1,1
21/09/08,Milan,Lazio,4,1
21/09/08,Palermo,Genoa,2,1
21/09/08,Sampdoria,Chievo,1,1
21/09/08,Torino,Inter,1,3
21/09/08,Udinese,Napoli,0,0
24/09/08,Atalanta,Cagliari,1,0
24/09/08,Bologna,Udinese,0,3
24/09/08,Chievo,Torino,1,1
24/09/08,Genoa,Roma,3,1
24/09/08,Inter,Lecce,1,0
24/09/08,Juventus,Catania,1,1
24/09/08,Lazio,Fiorentina,3,0
24/09/08,Napoli,Palermo,2,1
24/09/08,Reggina,Milan,1,2
24/09/08,Siena,Sampdoria,0,0
27/09/08,Fiorentina,Genoa,1,0
27/09/08,Sampdoria,Juventus,0,0
28/09/08,Bologna,Napoli,0,1
28/09/08,Catania,Chievo,1,0
28/09/08,Lecce,Cagliari,2,0
28/09/08,Milan,Inter,1,0
28/09/08,Palermo,Reggina,1,0
28/09/08,Roma,Atalanta,2,0
28/09/08,Torino,Lazio,1,3
28/09/08,Udinese,Siena,2,1
04/10/08,Inter,Bologna,2,1
04/10/08,Lazio,Lecce,1,1
05/10/08,Atalanta,Sampdoria,4,2
05/10/08,Cagliari,Milan,0,0
05/10/08,Chievo,Fiorentina,0,2
05/10/08,Genoa,Napoli,3,2
05/10/08,Juventus,Palermo,1,2
05/10/08,Reggina,Catania,1,1
05/10/08,Siena,Roma,1,0
05/10/08,Udinese,Torino,2,0
18/10/08,Fiorentina,Reggina,3,0
18/10/08,Napoli,Juventus,2,1
19/10/08,Bologna,Lazio,3,1
19/10/08,Catania,Palermo,2,0
19/10/08,Chievo,Atalanta,1,1
19/10/08,Genoa,Siena,1,0
19/10/08,Lecce,Udinese,2,2
19/10/08,Milan,Sampdoria,3,0
19/10/08,Roma,Inter,0,4
19/10/08,Torino,Cagliari,0,1
25/10/08,Juventus,Torino,1,0
25/10/08,Siena,Catania,1,1
26/10/08,Atalanta,Milan,0,1
26/10/08,Cagliari,Chievo,2,0
26/10/08,Inter,Genoa,0,0
26/10/08,Lazio,Napoli,0,1
26/10/08,Palermo,Fiorentina,1,3
26/10/08,Reggina,Lecce,2,0
26/10/08,Sampdoria,Bologna,2,0
26/10/08,Udinese,Roma,3,1
29/10/08,Bologna,Juventus,1,2
29/10/08,Catania,Udinese,0,2
29/10/08,Chievo,Lazio,1,2
29/10/08,Fiorentina,Inter,0,0
29/10/08,Genoa,Cagliari,2,1
29/10/08,Lecce,Palermo,1,1
29/10/08,Milan,Siena,2,1
29/10/08,Napoli,Reggina,3,0
29/10/08,Torino,Atalanta,2,1
01/11/08,Juventus,Roma,2,0
01/11/08,Reggina,Inter,2,3
02/11/08,Atalanta,Lecce,0,0
02/11/08,Cagliari,Bologna,5,1
02/11/08,Lazio,Catania,1,0
02/11/08,Milan,Napoli,1,0
