Date,HomeTeam,AwayTeam,FTHG,FTAG
11/09/04,Chievo,Inter,2,2
11/09/04,Milan,Livorno,2,2
12/09/04,Atalanta,Lecce,2,2
12/09/04,Brescia,Juventus,0,3
12/09/04,Cagliari,Bologna,1,0
12/09/04,Palermo,Siena,1,0
12/09/04,Parma,Messina,0,0
12/09/04,Reggina,Udinese,0,0
12/09/04,Roma,Fiorentina,1,0
12/09/04,Sampdoria,Lazio,0,1
18/09/04,Inter,Palermo,1,1
18/09/04,Lecce,Brescia,4,1
19/09/04,Bologna,Milan,0,2
19/09/04,Fiorentina,Cagliari,2,1
19/09/04,Juventus,Atalanta,2,0
19/09/04,Lazio,Reggina,1,1
19/09/04,Livorno,Chievo,1,2
19/09/04,Messina,Roma,4,3
19/09/04,Siena,Sampdoria,2,1
19/09/04,Udinese,Parma,4,0
22/09/04,Atalanta,Inter,2,3
22/09/04,Brescia,Lazio,0,2
22/09/04,Cagliari,Siena,2,0
22/09/04,Chievo,Udinese,0,0
22/09/04,Milan,Messina,1,2
22/09/04,Palermo,Fiorentina,0,0
22/09/04,Parma,Bologna,1,2
22/09/04,Reggina,Livorno,2,1
22/09/04,Roma,Lecce,2,2
22/09/04,Sampdoria,Juventus,0,3
25/09/04,Bologna,Roma,3,1
25/09/04,Juventus,Palermo,1,1
26/09/04,Fiorentina,Sampdoria,0,2
26/09/04,Inter,Parma,2,2
26/09/04,Lazio,Milan,1,2
26/09/04,Lecce,Cagliari,3,1
26/09/04,Livorno,Atalanta,1,1
26/09/04,Messina,Chievo,0,0
26/09/04,Siena,Reggina,0,0
26/09/04,Udinese,Brescia,1,2
02/10/04,Cagliari,Brescia,2,1
02/10/04,Chievo,Lecce,2,1
03/10/04,Atalanta,Lazio,1,1
03/10/04,Messina,Siena,4,1
03/10/04,Milan,Reggina,3,1
03/10/04,Palermo,Bologna,1,0
03/10/04,Parma,Fiorentina,0,0
03/10/04,Roma,Inter,3,3
03/10/04,Sampdoria,Livorno,2,0
03/10/04,Udinese,Juventus,0,1
16/10/04,Juventus,Messina,2,1
16/10/04,Livorno,Roma,0,2
17/10/04,Bologna,Atalanta,2,1
17/10/04,Brescia,Parma,3,1
17/10/04,Cagliari,Milan,0,1
17/10/04,Fiorentina,Siena,0,0
17/10/04,Inter,Udinese,3,1
17/10/04,Lazio,Chievo,0,1
17/10/04,Lecce,Palermo,2,0
17/10/04,Reggina,Sampdoria,0,1
23/10/04,Atalanta,Cagliari,2,2
23/10/04,Siena,Juventus,0,3
24/10/04,Chievo,Reggina,0,0
24/10/04,Livorno,Bologna,1,0
24/10/04,Messina,Lecce,1,4
24/10/04,Milan,Inter,0,0
24/10/04,Parma,Lazio,3,1
24/10/04,Roma,Palermo,1,1
24/10/04,Sampdoria,Brescia,0,1
24/10/04,Udinese,Fiorentina,2,2
27/10/04,Bologna,Udinese,0,1
27/10/04,Brescia,Siena,0,1
27/10/04,Cagliari,Parma,2,1
27/10/04,Chievo,Sampdoria,0,2
27/10/04,Lazio,Messina,2,0
27/10/04,Lecce,Inter,2,2
27/10/04,Milan,Atalanta,3,0
27/10/04,Palermo,Livorno,1,2
