Date,HomeTeam,AwayTeam,FTHG,FTAG
19/09/2020,Fiorentina,Torino,1,0
19/09/2020,Verona,Roma,0,0
20/09/2020,Parma,Napoli,0,2
20/09/2020,Genoa,Crotone,4,1
20/09/2020,Sassuolo,Cagliari,1,1
20/09/2020,Juventus,Sampdoria,3,0
21/09/2020,Milan,Bologna,2,0
26/09/2020,Torino,Atalanta,2,4
26/09/2020,Cagliari,Lazio,0,2
26/09/2020,Sampdoria,Benevento,2,3
26/09/2020,Inter,Fiorentina,4,3
27/09/2020,Spezia,Sassuolo,1,4
27/09/2020,Napoli,Genoa,6,0
27/09/2020,Verona,Udinese,1,0
27/09/2020,Crotone,Milan,0,2
27/09/2020,Roma,Juventus,2,2
28/09/2020,Bologna,Parma,4,1
30/09/2020,Benevento,Inter,2,5
30/09/2020,Udinese,Spezia,0,2
30/09/2020,Lazio,Atalanta,1,4
02/10/2020,Fiorentina,Sampdoria,1,2
03/10/2020,Sassuolo,Crotone,4,1
03/10/2020,Udinese,Roma,0,1
04/10/2020,Atalanta,Cagliari,5,2
04/10/2020,Benevento,Bologna,1,0
04/10/2020,Lazio,Inter,1,1
04/10/2020,Parma,Verona,1,0
04/10/2020,Milan,Spezia,3,0
17/10/2020,Napoli,Atalanta,4,1
17/10/2020,Inter,Milan,1,2
17/10/2020,Sampdoria,Lazio,3,0
17/10/2020,Crotone,Juventus,1,1
18/10/2020,Bologna,Sassuolo,3,4
18/10/2020,Spezia,Fiorentina,2,2
18/10/2020,Torino,Cagliari,2,3
18/10/2020,Udinese,Parma,3,2
18/10/2020,Roma,Benevento,5,2
19/10/2020,Verona,Genoa,0,0
23/10/2020,Sassuolo,Torino,3,3
24/10/2020,Atalanta,Sampdoria,1,3
24/10/2020,Genoa,Inter,0,2
24/10/2020,Lazio,Bologna,2,1
25/10/2020,Cagliari,Crotone,4,2
25/10/2020,Benevento,Napoli,1,2
25/10/2020,Parma,Spezia,2,2
25/10/2020,Fiorentina,Udinese,3,2
25/10/2020,Juventus,Verona,1,1
26/10/2020,Milan,Roma,3,3
31/10/2020,Crotone,Atalanta,1,2
31/10/2020,Inter,Parma,2,2
31/10/2020,Bologna,Cagliari,3,2
01/11/2020,Udinese,Milan,1,2
01/11/2020,Spezia,Juventus,1,4
01/11/2020,Torino,Lazio,3,4
01/11/2020,Napoli,Sassuolo,0,2
01/11/2020,Roma,Fiorentina,2,0
01/11/2020,Sampdoria,Genoa,1,1
02/11/2020,Verona,Benevento,3,1
04/11/2020,Genoa,Torino,1,2
06/11/2020,Sassuolo,Udinese,0,0
07/11/2020,Cagliari,Sampdoria,2,0
07/11/2020,Benevento,Spezia,0,3
07/11/2020,Parma,Fiorentina,0,0
08/11/2020,Lazio,Juventus,1,1
08/11/2020,Atalanta,Inter,1,1
08/11/2020,Genoa,Roma,1,3
08/11/2020,Torino,Crotone,0,0
08/11/2020,Bologna,Napoli,0,1
08/11/2020,Milan,Verona,2,2
21/11/2020,Crotone,Lazio,0,2
21/11/2020,Spezia,Atalanta,0,0
21/11/2020,Juventus,Cagliari,2,0
22/11/2020,Fiorentina,Benevento,0,1
22/11/2020,Inter,Torino,4,2
22/11/2020,Roma,Parma,3,0
22/11/2020,Sampdoria,Bologna,1,2
22/11/2020,Verona,Sassuolo,0,2
22/11/2020,Udinese,Genoa,1,0
22/11/2020,Napoli,Milan,1,3
28/11/2020,Sassuolo,Inter,0,3
28/11/2020,Benevento,Juventus,1,1
28/11/2020,Atalanta,Verona,0,2
29/11/2020,Lazio,Udinese,1,3
29/11/2020,Bologna,Crotone,1,0
29/11/2020,Milan,Fiorentina,2,0
29/11/2020,Cagliari,Spezia,2,2
29/11/2020,Napoli,Roma,4,0
30/11/2020,Torino,Sampdoria,2,2
30/11/2020,Genoa,Parma,1,2
05/12/2020,Spezia,Lazio,1,2
05/12/2020,Juventus,Torino,2,1
05/12/2020,Inter,Bologna,3,1
06/12/2020,Verona,Cagliari,1,1
06/12/2020,Parma,Benevento,0,0
06/12/2020,Roma,Sassuolo,0,0
06/12/2020,Crotone,Napoli,0,4
06/12/2020,Sampdoria,Milan,1,2
07/12/2020,Fiorentina,Genoa,1,1
11/12/2020,Sassuolo,Benevento,1,0
12/12/2020,Crotone,Spezia,4,1
12/12/2020,Torino,Udinese,2,3
12/12/2020,Lazio,Verona,1,2
13/12/2020,Cagliari,Inter,1,3
13/12/2020,Atalanta,Fiorentina,3,0
13/12/2020,Bologna,Roma,1,5
13/12/2020,Napoli,Sampdoria,2,1
13/12/2020,Genoa,Juventus,1,3
13/12/2020,Milan,Parma,2,2
15/12/2020,Udinese,Crotone,0,0
15/12/2020,Benevento,Lazio,1,1
16/12/2020,Juventus,Atalanta,1,1
16/12/2020,Fiorentina,Sassuolo,1,1
16/12/2020,Genoa,Milan,2,2
16/12/2020,Inter,Napoli,1,0
16/12/2020,Parma,Cagliari,0,0
16/12/2020,Spezia,Bologna,2,2
16/12/2020,Verona,Sampdoria,1,2
17/12/2020,Roma,Torino,3,1
19/12/2020,Fiorentina,Verona,1,1
19/12/2020,Sampdoria,Crotone,3,1
19/12/2020,Parma,Juventus,0,4
20/12/2020,Torino,Bologna,1,1
20/12/2020,Benevento,Genoa,2,0
20/12/2020,Cagliari,Udinese,1,1
20/12/2020,Inter,Spezia,2,1
20/12/2020,Sassuolo,Milan,1,2
20/12/2020,Atalanta,Roma,4,1
20/12/2020,Lazio,Napoli,2,0
22/12/2020,Crotone,Parma,2,1
22/12/2020,Juventus,Fiorentina,0,3
23/12/2020,Verona,Inter,1,2
23/12/2020,Bologna,Atalanta,2,2
23/12/2020,Milan,Lazio,3,2
23/12/2020,Napoli,Torino,1,1
23/12/2020,Roma,Cagliari,3,2
23/12/2020,Sampdoria,Sassuolo,2,3
23/12/2020,Spezia,Genoa,1,2
23/12/2020,Udinese,Benevento,0,2
03/01/2021,Inter,Crotone,6,2
03/01/2021,Atalanta,Sassuolo,5,1
03/01/2021,Cagliari,Napoli,1,4
03/01/2021,Fiorentina,Bologna,0,0
03/01/2021,Genoa,Lazio,1,1
