Date,HomeTeam,AwayTeam,FTHG,FTAG
25/08/12,Fiorentina,Udinese,2,1
25/08/12,Juventus,Parma,2,0
26/08/12,Atalanta,Lazio,0,1
26/08/12,Chievo,Bologna,2,0
26/08/12,Genoa,Cagliari,2,0
26/08/12,Milan,Sampdoria,0,1
26/08/12,Palermo,Napoli,0,3
26/08/12,Pescara,Inter,0,3
26/08/12,Roma,Catania,2,2
26/08/12,Siena,Torino,0,0
01/09/12,Bologna,Milan,1,3
01/09/12,Torino,Pescara,3,0
02/09/12,Cagliari,Atalanta,1,1
02/09/12,Catania,Genoa,3,2
02/09/12,Inter,Roma,1,3
02/09/12,Lazio,Palermo,3,0
02/09/12,Napoli,Fiorentina,2,1
02/09/12,Parma,Chievo,2,0
02/09/12,Sampdoria,Siena,2,1
02/09/12,Udinese,Juventus,1,4
15/09/12,Milan,Atalanta,0,1
15/09/12,Palermo,Cagliari,1,1
16/09/12,Chievo,Lazio,1,3
16/09/12,Fiorentina,Catania,2,0
16/09/12,Genoa,Juventus,1,3
16/09/12,Napoli,Parma,3,1
16/09/12,Pescara,Sampdoria,2,3
16/09/12,Roma,Bologna,2,3
16/09/12,Siena,Udinese,2,2
16/09/12,Torino,Inter,0,2
22/09/12,Juventus,Chievo,2,0
22/09/12,Parma,Fiorentina,1,1
23/09/12,Atalanta,Palermo,1,0
23/09/12,Bologna,Pescara,1,1
23/09/12,Cagliari,Roma,0,3
23/09/12,Catania,Napoli,0,0
23/09/12,Inter,Siena,0,2
23/09/12,Lazio,Genoa,0,1
23/09/12,Sampdoria,Torino,1,1
23/09/12,Udinese,Milan,2,1
25/09/12,Fiorentina,Juventus,0,0
26/09/12,Catania,Atalanta,2,1
26/09/12,Chievo,Inter,0,2
26/09/12,Genoa,Parma,1,1
26/09/12,Milan,Cagliari,2,0
26/09/12,Napoli,Lazio,3,0
26/09/12,Pescara,Palermo,1,0
26/09/12,Roma,Sampdoria,1,1
26/09/12,Torino,Udinese,0,0
27/09/12,Siena,Bologna,1,0
29/09/12,Juventus,Roma,4,1
29/09/12,Parma,Milan,1,1
30/09/12,Atalanta,Torino,1,5
30/09/12,Bologna,Catania,4,0
30/09/12,Cagliari,Pescara,1,2
30/09/12,Inter,Fiorentina,2,1
30/09/12,Lazio,Siena,2,1
30/09/12,Palermo,Chievo,4,1
30/09/12,Sampdoria,Napoli,0,1
30/09/12,Udinese,Genoa,0,0
06/10/12,Chievo,Sampdoria,2,1
06/10/12,Genoa,Palermo,1,1
07/10/12,Catania,Parma,2,0
07/10/12,Fiorentina,Bologna,1,0
07/10/12,Milan,Inter,0,1
07/10/12,Napoli,Udinese,2,1
07/10/12,Pescara,Lazio,0,3
07/10/12,Roma,Atalanta,2,0
07/10/12,Siena,Juventus,1,2
07/10/12,Torino,Cagliari,0,1
20/10/12,Juventus,Napoli,2,0
20/10/12,Lazio,Milan,3,2
