Date,HomeTeam,AwayTeam,FTHG,FTAG
22/08/15,Lazio,Bologna,2,1
22/08/15,Verona,Roma,1,1
23/08/15,Empoli,Chievo,1,3
23/08/15,Fiorentina,Milan,2,0
23/08/15,Frosinone,Torino,1,2
23/08/15,Inter,Atalanta,1,0
23/08/15,Juventus,Udinese,0,1
23/08/15,Palermo,Genoa,1,0
23/08/15,Sampdoria,Carpi,5,2
23/08/15,Sassuolo,Napoli,2,1
29/08/15,Bologna,Sassuolo,0,1
29/08/15,Milan,Empoli,2,1
30/08/15,Atalanta,Frosinone,2,0
30/08/15,Carpi,Inter,1,2
30/08/15,Chievo,Lazio,4,0
30/08/15,Genoa,Verona,2,0
30/08/15,Napoli,Sampdoria,2,2
30/08/15,Roma,Juventus,2,1
30/08/15,Torino,Fiorentina,3,1
30/08/15,Udinese,Palermo,0,1
12/09/15,Fiorentina,Genoa,1,0
12/09/15,Frosinone,Roma,0,2
12/09/15,Juventus,Chievo,1,1
13/09/15,Empoli,Napoli,2,2
13/09/15,Inter,Milan,1,0
13/09/15,Lazio,Udinese,2,0
13/09/15,Palermo,Carpi,2,2
13/09/15,Sassuolo,Atalanta,2,2
13/09/15,Verona,Torino,2,2
14/09/15,Sampdoria,Bologna,2,0
19/09/15,Milan,Palermo,3,2
19/09/15,Udinese,Empoli,1,2
20/09/15,Atalanta,Verona,1,1
20/09/15,Bologna,Frosinone,1,0
20/09/15,Carpi,Fiorentina,0,1
20/09/15,Chievo,Inter,0,1
20/09/15,Genoa,Juventus,0,2
20/09/15,Napoli,Lazio,5,0
20/09/15,Roma,Sassuolo,2,2
20/09/15,Torino,Sampdoria,2,0
22/09/15,Udinese,Milan,2,3
23/09/15,Carpi,Napoli,0,0
23/09/15,Chievo,Torino,1,0
23/09/15,Fiorentina,Bologna,2,0
23/09/15,Inter,Verona,1,0
23/09/15,Juventus,Frosinone,1,1
23/09/15,Lazio,Genoa,2,0
23/09/15,Palermo,Sassuolo,0,1
23/09/15,Sampdoria,Roma,2,1
24/09/15,Empoli,Atalanta,0,1
26/09/15,Napoli,Juventus,2,1
26/09/15,Roma,Carpi,5,1
27/09/15,Bologna,Udinese,1,2
27/09/15,Genoa,Milan,1,0
27/09/15,Inter,Fiorentina,1,4
27/09/15,Sassuolo,Chievo,1,1
27/09/15,Torino,Palermo,2,1
27/09/15,Verona,Lazio,1,2
28/09/15,Atalanta,Sampdoria,2,1
28/09/15,Frosinone,Empoli,2,0
03/10/15,Carpi,Torino,2,1
03/10/15,Chievo,Verona,1,1
04/10/15,Empoli,Sassuolo,1,0
04/10/15,Fiorentina,Atalanta,3,0
04/10/15,Juventus,Bologna,3,1
04/10/15,Lazio,Frosinone,2,0
04/10/15,Milan,Napoli,0,4
04/10/15,Palermo,Roma,2,4
04/10/15,Sampdoria,Inter,1,1
04/10/15,Udinese,Genoa,1,1
17/10/15,Roma,Empoli,3,1
17/10/15,Torino,Milan,1,1
18/10/15,Atalanta,Carpi,3,0
18/10/15,Bologna,Palermo,0,1
18/10/15,Frosinone,Sampdoria,2,0
18/10/15,Genoa,Chievo,3,2
18/10/15,Inter,Juventus,0,0
18/10/15,Napoli,Fiorentina,2,1
18/10/15,Sassuolo,Lazio,2,1
18/10/15,Verona,Udinese,1,1
24/10/15,Carpi,Bologna,1,2
24/10/15,Empoli,Genoa,2,0
24/10/15,Palermo,Inter,1,1
25/10/15,Chievo,Napoli,0,1
25/10/15,Fiorentina,Roma,1,2
25/10/15,Juventus,Atalanta,2,0
25/10/15,Lazio,Torino,3,0
25/10/15,Milan,Sassuolo,2,1
25/10/15,Sampdoria,Verona,4,1
25/10/15,Udinese,Frosinone,1,0
27/10/15,Bologna,Inter,0,1
28/10/15,Atalanta,Lazio,2,1
28/10/15,Frosinone,Carpi,2,1
28/10/15,Milan,Chievo,1,0
28/10/15,Napoli,Palermo,2,0
28/10/15,Roma,Udinese,3,1
28/10/15,Sassuolo,Juventus,1,0
28/10/15,Torino,Genoa,3,3
28/10/15,Verona,Fiorentina,0,2
29/10/15,Sampdoria,Empoli,1,1
31/10/15,Inter,Roma,1,0
31/10/15,Juventus,Torino,2,1
01/11/15,Bologna,Atalanta,3,0
01/11/15,Carpi,Verona,0,0
01/11/15,Fiorentina,Frosinone,4,1
01/11/15,Genoa,Napoli,0,0
01/11/15,Lazio,Milan,1,3
01/11/15,Udinese,Sassuolo,0,0
02/11/15,Chievo,Sampdoria,1,1
02/11/15,Palermo,Empoli,0,1
07/11/15,Milan,Atalanta,0,0
07/11/15,Verona,Bologna,0,2
08/11/15,Empoli,Juventus,1,3
08/11/15,Frosinone,Genoa,2,2
08/11/15,Napoli,Udinese,1,0
08/11/15,Palermo,Chievo,1,0
08/11/15,Roma,Lazio,2,0
08/11/15,Sampdoria,Fiorentina,0,2
08/11/15,Sassuolo,Carpi,1,0
08/11/15,Torino,Inter,0,1
21/11/15,Bologna,Roma,2,2
21/11/15,Juventus,Milan,1,0
22/11/15,Atalanta,Torino,0,1
22/11/15,Carpi,Chievo,1,2
22/11/15,Fiorentina,Empoli,2,2
22/11/15,Genoa,Sassuolo,2,1
22/11/15,Inter,Frosinone,4,0
22/11/15,Lazio,Palermo,1,1
22/11/15,Udinese,Sampdoria,1,0
22/11/15,Verona,Napoli,0,2
28/11/15,Milan,Sampdoria,4,1
28/11/15,Torino,Bologna,2,0
29/11/15,Chievo,Udinese,2,3
29/11/15,Empoli,Lazio,1,0
29/11/15,Frosinone,Verona,3,2
29/11/15,Genoa,Carpi,1,2
29/11/15,Palermo,Juventus,0,3
29/11/15,Roma,Atalanta,0,2
30/11/15,Napoli,Inter,2,1
30/11/15,Sassuolo,Fiorentina,1,1
04/12/15,Lazio,Juventus,0,2
05/12/15,Inter,Genoa,1,0
05/12/15,Torino,Roma,1,1
06/12/15,Atalanta,Palermo,3,0
06/12/15,Bologna,Napoli,3,2
06/12/15,Carpi,Milan,0,0
06/12/15,Fiorentina,Udinese,3,0
06/12/15,Frosinone,Chievo,0,2
06/12/15,Sampdoria,Sassuolo,1,3
06/12/15,Verona,Empoli,0,1
12/12/15,Genoa,Bologna,0,1
12/12/15,Palermo,Frosinone,4,1
12/12/15,Udinese,Inter,0,4
13/12/15,Chievo,Atalanta,1,0
13/12/15,Empoli,Carpi,3,0
13/12/15,Juventus,Fiorentina,3,1
13/12/15,Milan,Verona,1,1
13/12/15,Napoli,Roma,0,0
14/12/15,Lazio,Sampdoria,1,1
19/12/15,Bologna,Empoli,2,3
20/12/15,Atalanta,Napoli,1,3
20/12/15,Carpi,Juventus,2,3
20/12/15,Fiorentina,Chievo,2,0
20/12/15,Frosinone,Milan,2,4
20/12/15,Inter,Lazio,1,2
20/12/15,Roma,Genoa,2,0
20/12/15,Sampdoria,Palermo,2,0
20/12/15,Torino,Udinese,0,1
20/12/15,Verona,Sassuolo,1,1
05/01/16,Genoa,Sampdoria,2,3
06/01/16,Chievo,Roma,3,3
06/01/16,Empoli,Inter,0,1
06/01/16,Juventus,Verona,3,0
06/01/16,Lazio,Carpi,0,0
06/01/16,Milan,Bologna,0,1
06/01/16,Napoli,Torino,2,1
06/01/16,Palermo,Fiorentina,1,3
06/01/16,Sassuolo,Frosinone,2,2
06/01/16,Udinese,Atalanta,2,1
09/01/16,Carpi,Udinese,2,1
09/01/16,Fiorentina,Lazio,1,3
09/01/16,Roma,Milan,1,1
10/01/16,Atalanta,Genoa,0,2
10/01/16,Bologna,Chievo,0,1
10/01/16,Frosinone,Napoli,1,5
10/01/16,Inter,Sassuolo,0,1
10/01/16,Sampdoria,Juventus,1,2
10/01/16,Torino,Empoli,0,1
10/01/16,Verona,Palermo,0,1
16/01/16,Atalanta,Inter,1,1
16/01/16,Napoli,Sassuolo,3,1
16/01/16,Torino,Frosinone,4,2
17/01/16,Bologna,Lazio,2,2
17/01/16,Carpi,Sampdoria,2,1
17/01/16,Chievo,Empoli,1,1
17/01/16,Genoa,Palermo,4,0
17/01/16,Milan,Fiorentina,2,0
17/01/16,Roma,Verona,1,1
17/01/16,Udinese,Juventus,0,4
20/01/16,Sassuolo,Torino,1,1
23/01/16,Empoli,Milan,2,2
23/01/16,Frosinone,Atalanta,0,0
24/01/16,Fiorentina,Torino,2,0
24/01/16,Inter,Carpi,1,1
24/01/16,Juventus,Roma,1,0
24/01/16,Lazio,Chievo,4,1
24/01/16,Palermo,Udinese,4,1
24/01/16,Sampdoria,Napoli,2,4
24/01/16,Sassuolo,Bologna,0,2
24/01/16,Verona,Genoa,1,1
30/01/16,Atalanta,Sassuolo,1,1
30/01/16,Carpi,Palermo,1,1
30/01/16,Roma,Frosinone,3,1
31/01/16,Bologna,Sampdoria,3,2
31/01/16,Chievo,Juventus,0,4
31/01/16,Genoa,Fiorentina,0,0
31/01/16,Milan,Inter,3,0
31/01/16,Napoli,Empoli,5,1
31/01/16,Torino,Verona,0,0
31/01/16,Udinese,Lazio,0,0
02/02/16,Sassuolo,Roma,0,2
03/02/16,Empoli,Udinese,1,1
03/02/16,Fiorentina,Carpi,2,1
03/02/16,Frosinone,Bologna,1,0
